MenuItemID,MenuID,DishName,DishPrice,DishType
50001,40001,Represent Burger,71.65,Side Dish
50002,40002,Road Soup,32.61,Beverage
50003,40003,Up Salad,67.32,Beverage
50004,40004,Professional Sandwich,8.86,Appetizer
50005,40005,Company Soup,51.18,Appetizer
50006,40006,Keep Soup,62.84,Beverage
50007,40007,Campaign Soup,42.29,Appetizer
50008,40008,Dinner Soup,90.48,Appetizer
50009,40009,Very Sandwich,82.39,Beverage
50010,40010,Movement Soup,15.69,Dessert
50011,40011,Lawyer Pizza,24.5,Beverage
50012,40012,Them Sandwich,58.69,Appetizer
50013,40013,Accept Soup,31.05,Side Dish
50014,40014,Line Salad,96.7,Beverage
50015,40015,Get Soup,10.56,Main Course
50016,40016,Among Pasta,91.1,Dessert
50017,40017,Physical Burger,82.96,Dessert
50018,40018,Senior Pasta,39.36,Main Course
50019,40019,Whom Pasta,68.95,Beverage
50020,40020,Yes Pasta,42.85,Main Course
50021,40021,Describe Sandwich,51.32,Main Course
50022,40022,Mr Pizza,29.6,Dessert
50023,40023,Heavy Pizza,89.75,Appetizer
50024,40024,Travel Burger,74.8,Appetizer
50025,40025,Resource Sandwich,95.67,Main Course
50026,40026,Collection Pizza,68.1,Main Course
50027,40027,Situation Pizza,71,Main Course
50028,40028,Myself Salad,31.38,Main Course
50029,40029,Chance Pasta,82.33,Appetizer
50030,40030,Measure Pasta,55.44,Beverage
50031,40031,Fund Sandwich,64.63,Appetizer
50032,40032,Reality Pasta,44.64,Beverage
50033,40033,Level Salad,61.65,Beverage
50034,40034,Common Pizza,36.44,Dessert
50035,40035,Live Soup,75.04,Dessert
50036,40036,Him Pasta,9.27,Dessert
50037,40037,Popular Pizza,69.45,Side Dish
50038,40038,Game Pasta,36.72,Dessert
50039,40039,Mind Pasta,63.38,Beverage
50040,40040,Authority Soup,25.54,Side Dish
50041,40041,Recognize Soup,67.79,Side Dish
50042,40042,Under Sandwich,34.19,Appetizer
50043,40043,Church Salad,17.05,Appetizer
50044,40044,Cultural Sandwich,3.87,Dessert
50045,40045,Job Salad,66.78,Beverage
50046,40046,Office Burger,15.15,Beverage
50047,40047,Feeling Burger,79.09,Side Dish
50048,40048,Actually Salad,56.57,Appetizer
50049,40049,Mission Salad,76.13,Beverage
50050,40050,Degree Salad,7.77,Dessert
50051,40051,City Pizza,55.59,Appetizer
50052,40052,Stay Salad,54.61,Main Course
50053,40053,Agency Soup,47.25,Side Dish
50054,40054,Another Burger,83.31,Side Dish
50055,40055,Simple Soup,28.82,Dessert
50056,40056,Contain Sandwich,33.19,Side Dish
50057,40057,Perform Salad,47.02,Side Dish
50058,40058,Though Pasta,7.34,Appetizer
50059,40059,President Burger,35.31,Appetizer
50060,40060,Tend Salad,14.23,Main Course
50061,40061,Through Pasta,62.62,Beverage
50062,40062,Decision Burger,12.63,Dessert
50063,40063,Want Soup,46.11,Main Course
50064,40064,Local Salad,26.01,Dessert
50065,40065,Be Pasta,77.43,Appetizer
50066,40066,Knowledge Sandwich,87.85,Appetizer
50067,40067,Parent Burger,4.56,Side Dish
50068,40068,Test Soup,38.98,Dessert
