RestaurantID,RestaurantName,RestaurantStreet,RestaurantCity,RestaurantState,RestaurantZipCode,RestaurantEmailId,RestaurantContactNumber
30001,Simon-Hogan Restaurant,8772 James Neck,West Kathyton,KS,76784,duncanterry@simon.biz,1911062966
30002,"Atkinson, Barrett and Johnson Restaurant",495 Matthew Freeway,Port Carolynton,ID,32476,patrick71@stevenson.com,1872547017
30003,Johnson and Sons Restaurant,247 Laura Pike Apt. 746,West Bobbymouth,PW,15287,jacqueline12@dodson.com,8310632535
30004,"Frost, Berry and Lee Restaurant",7127 Bryan Tunnel,Port Melissaport,WY,70609,colemanabigail@graham.net,2237195728
30005,Myers-Boone Restaurant,5636 Justin Drive Suite 714,Josephmouth,WY,75531,johnsonjuan@jones-moyer.com,6493540097
30006,"Moran, Campbell and Harris Restaurant",444 Hammond Motorway,Jamesfort,ME,14474,harperjack@smith.info,3292233339
30007,Hawkins-Brown Restaurant,046 Diaz Drives,Lake Daniel,MD,19703,ann54@solis-mitchell.com,9205731481
30008,"Moore, Wyatt and Davenport Restaurant",24649 Weber Island Apt. 473,Tonyshire,CO,39086,john59@cannon.info,2115030000
30009,Hardy-Swanson Restaurant,82826 Charles Bridge Suite 360,Ashleytown,AL,63776,webbaustin@marshall.com,4256303171
30010,"May, Garcia and Sullivan Restaurant",6038 Elizabeth Village Apt. 456,Lake Andrewmouth,VI,57112,emmachurch@hensley-vega.net,2321893307
30011,Vaughn Ltd Restaurant,248 Reyes Mills Apt. 619,South Michelle,TN,71069,clarkrobert@hall.org,7470301353
30012,Anderson-Douglas Restaurant,568 Jennifer Locks,Roberttown,KY,75892,rhonda19@bray.com,3719557125
30013,"Mcdonald, Harding and Ray Restaurant",85992 Justin Village Apt. 806,Cooleybury,CA,14505,taylorjuan@wilcox.org,8239116699
30014,Anderson-Davis Restaurant,71670 Tamara Flat Suite 513,Jasonhaven,ID,93581,bryanbell@webster-perez.com,2695117625
30015,"Williams, Montes and Olson Restaurant",22518 Olsen Avenue Apt. 574,Port Patrickfort,VT,16231,iwillis@zimmerman.com,3640132146
30016,Zamora Group Restaurant,53573 Hernandez Tunnel Suite 842,East Kimberly,WY,16287,cooperangela@vega-leonard.com,9160028471
30017,Martinez-Bruce Restaurant,8030 Bridges Village Suite 763,Lake Timothy,VI,65649,ilopez@haney.net,9765113107
30018,"Thompson, Yoder and Ward Restaurant",90697 Franklin Extensions,Matthewbury,GU,72295,cohenpatricia@salazar-hale.com,6363274813
30019,Higgins Inc Restaurant,482 Patrick Prairie Apt. 325,Kellyton,ND,71574,tcole@smith-glass.net,2412512487
30020,"Morales, Thompson and Taylor Restaurant",6935 Rebecca Bypass Suite 025,Kristashire,NC,39281,ldouglas@cannon.com,4199586078
30021,"Gibbs, Silva and Sandoval Restaurant",533 Wright Mews Apt. 899,Port Tylerberg,GU,26390,xhenry@colon.org,8357082342
30022,Beck-Sampson Restaurant,64765 King Common,East Kimberlychester,DE,98792,fitzpatricksarah@mclean.com,1672090627
30023,"Jordan, Gonzalez and Dixon Restaurant",40023 Stephen Ferry Apt. 323,Turnershire,IL,77880,trevor54@miller.com,8130818472
30024,Roy-Wilson Restaurant,6809 Ellis Pass Suite 660,East Jorge,AR,30844,sarahmyers@bradley.com,9924895303
30025,"Flores, Smith and Hughes Restaurant",65462 Brian Manor Apt. 230,Lake Kaylashire,WI,49832,samuel78@garcia.org,4491431610
30026,Jones-Campbell Restaurant,43562 Renee Mews,Josephshire,MD,65298,amyellison@hardy.com,4879325755
30027,"King, Thornton and Cordova Restaurant",35959 Amanda Landing,West Brian,VT,92429,jamestrujillo@smith.com,1149533617
30028,"Green, Wilson and Oneill Restaurant",9900 Susan Common Suite 062,Sanchezhaven,VA,69517,shawn02@jarvis.biz,7445450869
30029,Marshall Inc Restaurant,7139 Cynthia Via Suite 564,Jimenezfort,MH,47434,wendy42@christian.biz,8625262692
30030,"Howell, Frank and Hayes Restaurant",07432 Hanna Heights,Matthewside,MS,10630,mdonaldson@duke-sanchez.com,9552607784
30031,Jones PLC Restaurant,7543 Coleman Circle,Lake Ronaldville,PR,66552,kpeterson@woods.com,9937051769
30032,"Collier, Strickland and Clark Restaurant",221 Logan Brook,North Ashleyton,NY,43633,pbailey@garcia.info,4654913549
30033,Brown-Stone Restaurant,1653 Cody Mountain Suite 277,Port Andrewberg,NJ,97191,brandon29@rojas-smith.com,5826209688
30034,Schmidt PLC Restaurant,7905 Deborah Route,Keyburgh,NJ,41972,tyrone38@monroe-strong.com,9212070443
30035,Preston-Michael Restaurant,933 Paula Station,Port Ronaldburgh,MI,28241,marybrown@tucker-andrews.com,6607236531
30036,Alexander Ltd Restaurant,577 Jack Causeway,East Michelechester,ID,59700,njohnson@moore.org,4859638348
30037,Hurley Group Restaurant,125 Stephanie Mall Suite 698,Howellton,WV,34371,bryantadrienne@gill.com,3857909269
30038,Erickson PLC Restaurant,372 Palmer Glen Apt. 581,Lake Mikayla,TN,69657,colemananthony@haas-noble.net,2272304527
30039,Garcia Ltd Restaurant,4335 Debra Cove,North Kennethborough,WY,83278,valerie42@stone.com,5093108312
30040,"Perez, Campbell and Stout Restaurant",602 Cameron Groves Suite 369,New Joshuastad,UT,80582,brownsara@terry.com,3144154410
